Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,677.473999,704.031982,677.473999,700.218018,700.197266,0
2000-01-05,694.859009,694.859009,674.336975,678.086975,678.066895,0
2000-01-06,681.297974,691.887024,681.297974,688.520996,688.500549,0
2000-01-07,null,null,null,null,null,null
2000-01-10,null,null,null,null,null,null
2000-01-11,691.924011,704.541992,691.924011,696.002991,695.982361,0
2000-01-12,696.293030,698.145020,686.705017,690.164001,690.143494,0
2000-01-13,690.793030,699.674988,688.401978,691.609985,691.589478,0
2000-01-14,691.806030,694.085022,683.700989,690.892029,690.871521,0
2000-01-17,691.604004,707.469971,691.604004,703.482971,703.462097,0
2000-01-18,703.799011,704.348999,681.489014,685.716003,685.695618,0
2000-01-19,685.916016,685.916016,652.039978,655.994995,655.975525,0
2000-01-20,656.414001,673.908020,656.414001,670.153015,670.133118,0
2000-01-21,670.283020,670.905029,662.932007,664.693970,664.674194,0
2000-01-24,664.693970,668.976013,653.549988,656.721985,656.702454,0
2000-01-25,656.169983,656.169983,645.473022,649.857971,649.838684,0
2000-01-26,649.674011,656.715027,640.239014,643.385010,643.365906,0
2000-01-27,643.632996,650.068970,633.812988,644.651001,644.631897,0
2000-01-28,645.299988,646.276001,633.271973,634.669006,634.650146,0
2000-01-31,634.502991,636.372009,626.296997,636.372009,636.353149,0
2000-02-01,636.760986,638.375977,613.530029,616.856018,616.837708,0
2000-02-02,617.104004,621.723022,601.456970,603.575989,603.558105,0
2000-02-03,603.051025,615.013977,600.156006,614.309998,614.291748,0
2000-02-04,614.309998,634.997986,614.309998,634.997986,634.979126,0
2000-02-07,635.341003,641.166992,631.974976,636.427979,636.409119,0
2000-02-08,637.955017,639.752014,627.203979,629.900024,629.881348,0
2000-02-09,631.426025,632.450989,626.085999,632.450989,632.432190,0
2000-02-10,631.408020,642.138000,630.025024,639.252991,639.234009,0
2000-02-11,639.051025,640.934021,630.653992,635.078003,635.059143,0
2000-02-14,634.624023,638.091003,632.096985,633.715027,633.696228,0
2000-02-15,634.674988,641.606018,634.674988,636.895020,636.876099,0
2000-02-16,637.283020,637.283020,618.903015,621.901978,621.883545,0
2000-02-17,621.323975,623.703003,595.116028,600.174011,600.156189,0
2000-02-18,600.057007,604.575012,577.958984,599.572998,599.555176,0
2000-02-21,599.572998,599.572998,589.768982,592.987976,592.970398,0
2000-02-22,593.052002,596.114014,580.517029,583.419983,583.402649,0
2000-02-23,583.551025,591.786011,580.841980,584.427979,584.410645,0
2000-02-24,584.687988,587.281982,570.979980,573.487000,573.469971,0
2000-02-25,573.781982,575.664001,565.346985,568.554993,568.538147,0
2000-02-28,568.166016,579.492004,567.151978,576.541992,576.524841,0
2000-02-29,null,null,null,null,null,null
2000-03-01,577.786011,581.932983,561.713989,565.478027,565.461243,0
2000-03-02,565.481018,565.481018,543.281006,546.528015,546.511841,0
2000-03-03,547.328979,548.552979,528.203979,548.552979,548.536682,0
2000-03-06,549.453979,571.568970,549.453979,566.710022,566.693176,0
2000-03-07,565.948975,565.948975,555.452026,562.758972,562.742249,0
2000-03-08,562.177979,571.109009,552.005005,570.052002,570.035095,0
2000-03-09,570.525024,589.822021,570.525024,585.179993,585.162598,0
2000-03-10,587.088013,598.039001,587.088013,596.182007,596.164307,0
2000-03-13,596.182007,599.822021,583.578979,587.575989,587.558533,0
2000-03-14,587.844971,590.184998,580.853027,585.921021,585.903625,0
2000-03-15,585.622986,587.658997,579.627991,586.869019,586.851624,0
2000-03-16,null,null,null,null,null,null
2000-03-17,588.317017,598.409973,587.580017,590.851990,590.834412,0
2000-03-20,590.713013,590.713013,581.327026,584.875977,584.858582,0
2000-03-21,584.789001,585.005981,575.401001,578.965027,578.947876,0
2000-03-22,579.575012,586.864990,579.575012,586.864990,586.847595,0
2000-03-23,586.870972,593.203979,582.679016,586.007019,585.989624,0
2000-03-24,586.612976,589.031982,578.059021,581.473022,581.455750,0
2000-03-27,581.836975,585.237000,579.684998,585.237000,585.219604,0
2000-03-28,585.268005,588.731995,582.216003,588.731995,588.714539,0
2000-03-29,588.429993,591.679016,586.544983,591.679016,591.661438,0
2000-03-30,591.679016,593.398987,581.833984,583.276001,583.258728,0
2000-03-31,null,null,null,null,null,null
2000-04-03,583.546997,583.565979,566.525024,570.901001,570.884033,0
2000-04-04,null,null,null,null,null,null
2000-04-05,570.874023,570.874023,556.596985,564.182007,564.165283,0
2000-04-06,null,null,null,null,null,null
2000-04-07,564.625977,570.815002,564.625977,570.815002,570.798035,0
2000-04-10,571.081970,571.419983,566.640015,569.617004,569.600098,0
2000-04-11,569.674988,569.739990,561.833984,569.739990,569.723083,0
2000-04-12,569.896973,570.023010,561.101013,564.737000,564.720276,0
2000-04-13,564.737000,565.841980,562.273010,565.106995,565.090210,0
2000-04-14,565.088989,565.291016,553.543030,556.788025,556.771484,0
2000-04-17,554.080994,554.080994,524.353027,529.263000,529.247253,0
